toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[], 11, 11, 10, 15,11, 11, 10,15, 0, 0, 0,0
[0], 11, 11, 10, 15,10, 10, 9,13, 1, 1, 1,2
[0 1], 11, 11, 10, 15,9, 9, 8,11, 2, 2, 2,4
[0 1 2], 11, 11, 10, 15,8, 8, 7,9, 3, 3, 3,6
[0 1 2 3], 11, 11, 10, 15,7, 7, 7,8, 4, 4, 3,7
[0 1 3], 11, 11, 10, 15,8, 7, 8,9, 3, 4, 2,6
[0 2], 11, 11, 10, 15,8, 8, 7,9, 3, 3, 3,6
[0 2 3], 11, 11, 10, 15,7, 7, 7,8, 4, 4, 3,7
[0 3], 11, 11, 10, 15,9, 7, 9,10, 2, 4, 1,5
[1], 11, 11, 10, 15,9, 9, 8,11, 2, 2, 2,4
[1 2], 11, 11, 10, 15,8, 8, 7,9, 3, 3, 3,6
[1 2 3], 11, 11, 10, 15,7, 7, 7,8, 4, 4, 3,7
[1 3], 11, 11, 10, 15,8, 7, 8,9, 3, 4, 2,6
[2], 11, 11, 10, 15,8, 8, 7,9, 3, 3, 3,6
[2 3], 11, 11, 10, 15,7, 7, 7,8, 4, 4, 3,7
[3], 11, 11, 10, 15,10, 7, 10,11, 1, 4, 0,4
